Station,Year,latitude,longitude,Sum
Ambagan(Ctg),2000,22.2417227,91.6413344,3235
Barisal,2000,22.70497,90.37013,1770
Bhola,2000,22.68759,90.64403,2031
Bogra,2000,24.85098,89.37108,1840
Chandpur,2000,23.2321,90.6631,1785
Chittagong,2000,22.3384,91.83168,3503
chuadanga,2000,23.6418,88.8577,1801
Comilla,2000,23.46186,91.18503,2044
Cox's Bazar,2000,21.43973,92.00955,4707
Dhaka,2000,23.7104,90.40744,2104
Dinajpur,2000,25.62745,88.63779,1515
Faridpur,2000,23.60612,89.84064,1952
Feni,2000,23.0144,91.3966,3651
Hatiya,2000,22.2881,91.1401,3293
Ishurdi,2000,24.12858,89.06573,1808
Jessore,2000,23.16971,89.21371,1811
Khepupara,2000,21.9938,90.2292,2814
Khulna,2000,22.80979,89.56439,1756
Kutubdia,2000,21.8167,91.8583,3138
Madaripur,2000,23.17097,90.20935,1917
Mongla,2000,22.4942,89.6016,1799
Mymensingh,2000,24.75636,90.40646,2317
Patuakhali,2000,22.3586,90.3317,2130
Rajshahi,2000,24.374,88.60114,1690
Rangamati,2000,22.6573,92.1733,2934
Rangpur,2000,25.74664,89.25166,1745
Sandwip,2000,22.51409,91.45491,4016
Satkhira,2000,22.70817,89.07185,2002
Sitakunda,2000,22.6171,91.6809,3456
Srimangal,2000,24.3065,91.7296,3161
sydpur,2000,25.783,88.8983,1466
Sylhet,2000,24.89904,91.87198,4692
Tangail,2000,24.24984,89.91655,1792
Teknaf,2000,20.85829,92.29773,4987
