Station,year,latitude,longitude,Sum
Ambagan(Ctg),2013,22.2417227,91.6413344,2379
Barisal,2013,22.70497,90.37013,2321
Bhola,2013,22.68759,90.64403,2194
Bogra,2013,24.85098,89.37108,1219
Chandpur,2013,23.2321,90.6631,2545
Chittagong,2013,22.3384,91.83168,2561
chuadanga,2013,23.6418,88.8577,1165
Comilla,2013,23.46186,91.18503,1643
Cox's Bazar,2013,21.43973,92.00955,4059
Dhaka,2013,23.7104,90.40744,1590
Dinajpur,2013,25.62745,88.63779,1827
Faridpur,2013,23.60612,89.84064,1639
Feni,2013,23.0144,91.3966,2488
Hatiya,2013,22.2881,91.1401,3436
Ishurdi,2013,24.12858,89.06573,1129
Jessore,2013,23.16971,89.21371,1676
Khepupara,2013,21.9938,90.2292,3120
Khulna,2013,22.80979,89.56439,2064
Kutubdia,2013,21.8167,91.8583,4203
Madaripur,2013,23.17097,90.20935,2152
Mongla,2013,22.4942,89.6016,1831
Mymensingh,2013,24.75636,90.40646,1739
Patuakhali,2013,22.3586,90.3317,2658
Rajshahi,2013,24.374,88.60114,1248
Rangamati,2013,22.6573,92.1733,1950
Rangpur,2013,25.74664,89.25166,1916
Sandwip,2013,22.51409,91.45491,3061
Satkhira,2013,22.70817,89.07185,1662
Sitakunda,2013,22.6171,91.6809,2598
Srimangal,2013,24.3065,91.7296,2250
sydpur,2013,25.783,88.8983,1722
Sylhet,2013,24.89904,91.87198,3616
Tangail,2013,24.24984,89.91655,1182
Teknaf,2013,20.85829,92.29773,4186
