Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,latitude,longitude,MonthlyTotal,Sum
Barisal,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.70497,90.37013,0,
Barisal,1990,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,37,0,27,2,0,0,0,1,0,0,0,0,0,22.70497,90.37013,79,
Barisal,1990,3,0,6,19,1,0,0,10,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,21,36,8,0,12,14,41,0,22.70497,90.37013,182,
Barisal,1990,4,15,36,6,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,28,0,17,0,0,22.70497,90.37013,139,
Barisal,1990,5,0,0,5,2,23,0,0,0,0,0,2,1,7,30,73,7,0,0,0,0,43,0,57,0,0,23,0,30,11,38,0,22.70497,90.37013,352,
Barisal,1990,6,50,30,4,34,0,36,0,0,0,0,30,0,3,3,4,4,5,0,23,2,17,6,38,1,2,1,19,37,2,35,0,22.70497,90.37013,386,
Barisal,1990,7,1,11,30,30,18,39,12,1,11,30,1,20,11,3,39,24,2,6,3,9,8,5,0,0,15,8,68,0,44,6,2,22.70497,90.37013,457,
Barisal,1990,8,2,3,12,20,2,24,25,7,7,1,0,0,1,1,2,10,4,1,1,0,7,3,8,0,0,153,0,0,0,5,0,22.70497,90.37013,299,
Barisal,1990,9,1,33,11,2,0,1,6,0,0,2,18,2,4,8,1,0,0,16,1,17,0,2,0,1,11,21,5,2,0,25,0,22.70497,90.37013,190,
Barisal,1990,10,6,4,20,16,49,0,4,26,49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.70497,90.37013,194,
Barisal,1990,11,0,0,0,22,16,4,4,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.70497,90.37013,70,
Barisal,1990,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,22.70497,90.37013,30,2378
Bhola,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68759,90.64403,0,
Bhola,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,4,29,1,1,0,0,0,16,0,0,0,0,22.68759,90.64403,84,
Bhola,1990,3,0,4,17,2,0,0,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,14,57,6,0,7,1,37,0,22.68759,90.64403,155,
Bhola,1990,4,23,42,0,13,2,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,8,0,2,1,0,22.68759,90.64403,118,
Bhola,1990,5,0,3,3,0,31,0,0,0,0,0,0,0,0,10,73,23,0,0,0,0,44,0,9,0,4,16,2,13,0,18,0,22.68759,90.64403,249,
Bhola,1990,6,7,3,13,9,0,35,0,0,0,7,67,0,0,5,15,0,1,2,15,6,15,34,13,3,25,3,51,12,2,15,0,22.68759,90.64403,358,
Bhola,1990,7,5,1,10,40,17,8,5,4,29,30,4,1,0,1,9,50,1,0,1,3,3,28,2,0,9,5,12,26,31,5,30,22.68759,90.64403,370,
Bhola,1990,8,18,3,16,9,2,0,97,8,6,9,3,0,25,7,22,26,8,1,0,0,10,6,1,4,1,5,0,0,0,0,0,22.68759,90.64403,287,
Bhola,1990,9,2,49,7,5,22,6,0,0,0,0,14,1,3,8,0,0,0,0,2,32,0,0,0,1,12,2,1,3,0,29,0,22.68759,90.64403,199,
Bhola,1990,10,0,12,23,59,31,0,14,63,91,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68759,90.64403,322,
Bhola,1990,11,0,0,0,26,24,7,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68759,90.64403,83,
Bhola,1990,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,22.68759,90.64403,35,2260
Bogra,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.85098,89.37108,0,
Bogra,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,11,0,0,0,0,0,0,7,0,0,0,0,0,24.85098,89.37108,27,
Bogra,1990,3,0,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,0,24.85098,89.37108,24,
Bogra,1990,4,0,1,0,9,1,0,17,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,24.85098,89.37108,41,
