"asciiname","population","location"
"Dhaka",10356500,"https://www.google.com/maps/?q=23.7104,90.40744"
"Chittagong",3920222,"https://www.google.com/maps/?q=22.3384,91.83168"
"Khulna",1342339,"https://www.google.com/maps/?q=22.80979,89.56439"
"Rajshahi",700133,"https://www.google.com/maps/?q=24.374,88.60114"
"Comilla",389411,"https://www.google.com/maps/?q=23.46186,91.18503"
"Shibganj",378701,"https://www.google.com/maps/?q=25.00146,89.32266"
"Natore",369138,"https://www.google.com/maps/?q=24.41112,88.98673"
"Rangpur",343122,"https://www.google.com/maps/?q=25.74664,89.25166"
"Tungi",337579,"https://www.google.com/maps/?q=23.89154,90.40232"
"Narsingdi",281080,"https://www.google.com/maps/?q=23.92298,90.71768"
"Bagerhat",266388,"https://www.google.com/maps/?q=22.65657,89.79123"
"Cox's Bazar",253788,"https://www.google.com/maps/?q=21.43973,92.00955"
"Jessore",243987,"https://www.google.com/maps/?q=23.16971,89.21371"
"Nagarpur",238422,"https://www.google.com/maps/?q=24.05783,89.87696"
"Sylhet",237000,"https://www.google.com/maps/?q=24.89904,91.87198"
"Mymensingh",225126,"https://www.google.com/maps/?q=24.75636,90.40646"
"Narayanganj",223622,"https://www.google.com/maps/?q=23.61352,90.50298"
"Bogra",210000,"https://www.google.com/maps/?q=24.85098,89.37108"
"Dinajpur",206234,"https://www.google.com/maps/?q=25.62745,88.63779"
"Barisal",202242,"https://www.google.com/maps/?q=22.70497,90.37013"
"Saidpur",199422,"https://www.google.com/maps/?q=25.77769,88.89169"
"Par Naogaon",192464,"https://www.google.com/maps/?q=24.80418,88.94875"
"Pabna",186781,"https://www.google.com/maps/?q=24.00644,89.2372"
"Paltan",184492,"https://www.google.com/maps/?q=23.73625,90.41426"
"Tangail",180144,"https://www.google.com/maps/?q=24.24984,89.91655"
"Jamalpur",167900,"https://www.google.com/maps/?q=24.91965,89.94812"
"Puthia",159406,"https://www.google.com/maps/?q=24.36537,88.83431"
"Nawabganj",142361,"https://www.google.com/maps/?q=24.59025,88.27444"
"Kushtia",135724,"https://www.google.com/maps/?q=23.9028,89.11943"
"Sonargaon",130000,"https://www.google.com/maps/?q=23.65,90.61667"
"Satkhira",128918,"https://www.google.com/maps/?q=22.70817,89.07185"
"Sirajganj",127481,"https://www.google.com/maps/?q=24.45771,89.70802"
"Faridpur",112187,"https://www.google.com/maps/?q=23.60612,89.84064"
"Sherpur",107419,"https://www.google.com/maps/?q=25.01881,90.01751"
"Bhairab Bazar",105457,"https://www.google.com/maps/?q=24.0524,90.9764"
"Shahzadpur",102420,"https://www.google.com/maps/?q=24.17687,89.5988"
"Bhola",99079,"https://www.google.com/maps/?q=22.68759,90.64403"
"Azimpur",96641,"https://www.google.com/maps/?q=23.7298,90.3854"
"Kishorganj",90690,"https://www.google.com/maps/?q=24.43944,90.78291"
"Bibir Hat",89030,"https://www.google.com/maps/?q=22.68347,91.79058"
"Habiganj",88760,"https://www.google.com/maps/?q=24.38044,91.41299"
